id,wav_path,label
0,/data/project/uaspeech/audiofinal/M01_B1_D3.wav,M01
1,/data/project/uaspeech/audiofinal/M01_B3_D3.wav,M01
2,/data/project/uaspeech/audiofinal/M04_B1_D3.wav,M04
3,/data/project/uaspeech/audiofinal/M04_B3_D3.wav,M04
4,/data/project/uaspeech/audiofinal/F03_B1_D3.wav,F03
5,/data/project/uaspeech/audiofinal/F03_B3_D3.wav,F03
6,/data/project/uaspeech/audiofinal/M12_B1_D3.wav,M12
7,/data/project/uaspeech/audiofinal/M12_B3_D3.wav,M12
8,/data/project/uaspeech/audiofinal/M01_B1_D9.wav,M01
9,/data/project/uaspeech/audiofinal/M01_B3_D9.wav,M01
10,/data/project/uaspeech/audiofinal/M04_B1_D9.wav,M04
11,/data/project/uaspeech/audiofinal/M04_B3_D9.wav,M04
12,/data/project/uaspeech/audiofinal/F03_B1_D9.wav,F03
13,/data/project/uaspeech/audiofinal/F03_B3_D9.wav,F03
14,/data/project/uaspeech/audiofinal/M12_B1_D9.wav,M12
15,/data/project/uaspeech/audiofinal/M12_B3_D9.wav,M12
16,/data/project/uaspeech/audiofinal/M01_B1_D0.wav,M01
17,/data/project/uaspeech/audiofinal/M01_B3_D0.wav,M01
18,/data/project/uaspeech/audiofinal/M04_B1_D0.wav,M04
19,/data/project/uaspeech/audiofinal/M04_B3_D0.wav,M04
20,/data/project/uaspeech/audiofinal/F03_B1_D0.wav,F03
21,/data/project/uaspeech/audiofinal/F03_B3_D0.wav,F03
22,/data/project/uaspeech/audiofinal/M12_B1_D0.wav,M12
23,/data/project/uaspeech/audiofinal/M12_B3_D0.wav,M12
24,/data/project/uaspeech/audiofinal/M01_B1_D6.wav,M01
25,/data/project/uaspeech/audiofinal/M01_B3_D6.wav,M01
26,/data/project/uaspeech/audiofinal/M04_B3_D6.wav,M04
27,/data/project/uaspeech/audiofinal/F03_B1_D6.wav,F03
28,/data/project/uaspeech/audiofinal/F03_B3_D6.wav,F03
29,/data/project/uaspeech/audiofinal/M12_B1_D6.wav,M12
30,/data/project/uaspeech/audiofinal/M12_B3_D6.wav,M12
31,/data/project/uaspeech/audiofinal/M01_B1_D7.wav,M01
32,/data/project/uaspeech/audiofinal/M01_B3_D7.wav,M01
33,/data/project/uaspeech/audiofinal/M04_B1_D7.wav,M04
34,/data/project/uaspeech/audiofinal/M04_B3_D7.wav,M04
35,/data/project/uaspeech/audiofinal/F03_B1_D7.wav,F03
36,/data/project/uaspeech/audiofinal/F03_B3_D7.wav,F03
37,/data/project/uaspeech/audiofinal/M12_B1_D7.wav,M12
38,/data/project/uaspeech/audiofinal/M12_B3_D7.wav,M12
39,/data/project/uaspeech/audiofinal/M01_B1_D8.wav,M01
40,/data/project/uaspeech/audiofinal/M01_B3_D8.wav,M01
41,/data/project/uaspeech/audiofinal/M04_B1_D8.wav,M04
42,/data/project/uaspeech/audiofinal/M04_B3_D8.wav,M04
43,/data/project/uaspeech/audiofinal/F03_B1_D8.wav,F03
44,/data/project/uaspeech/audiofinal/F03_B3_D8.wav,F03
45,/data/project/uaspeech/audiofinal/M12_B1_D8.wav,M12
46,/data/project/uaspeech/audiofinal/M12_B3_D8.wav,M12
47,/data/project/uaspeech/audiofinal/M01_B1_D4.wav,M01
48,/data/project/uaspeech/audiofinal/M01_B3_D4.wav,M01
49,/data/project/uaspeech/audiofinal/M04_B1_D4.wav,M04
50,/data/project/uaspeech/audiofinal/M04_B3_D4.wav,M04
51,/data/project/uaspeech/audiofinal/F03_B1_D4.wav,F03
52,/data/project/uaspeech/audiofinal/F03_B3_D4.wav,F03
53,/data/project/uaspeech/audiofinal/M12_B1_D4.wav,M12
54,/data/project/uaspeech/audiofinal/M12_B3_D4.wav,M12
55,/data/project/uaspeech/audiofinal/M01_B1_D5.wav,M01
56,/data/project/uaspeech/audiofinal/M04_B1_D5.wav,M04
57,/data/project/uaspeech/audiofinal/M04_B3_D5.wav,M04
58,/data/project/uaspeech/audiofinal/F03_B1_D5.wav,F03
59,/data/project/uaspeech/audiofinal/F03_B3_D5.wav,F03
60,/data/project/uaspeech/audiofinal/M12_B1_D5.wav,M12
61,/data/project/uaspeech/audiofinal/M12_B3_D5.wav,M12
62,/data/project/uaspeech/audiofinal/M01_B1_D1.wav,M01
63,/data/project/uaspeech/audiofinal/M01_B3_D1.wav,M01
64,/data/project/uaspeech/audiofinal/M04_B1_D1.wav,M04
65,/data/project/uaspeech/audiofinal/M04_B3_D1.wav,M04
66,/data/project/uaspeech/audiofinal/F03_B1_D1.wav,F03
67,/data/project/uaspeech/audiofinal/F03_B3_D1.wav,F03
68,/data/project/uaspeech/audiofinal/M12_B1_D1.wav,M12
69,/data/project/uaspeech/audiofinal/M12_B3_D1.wav,M12
70,/data/project/uaspeech/audiofinal/M01_B1_D2.wav,M01
71,/data/project/uaspeech/audiofinal/M01_B3_D2.wav,M01
72,/data/project/uaspeech/audiofinal/M04_B1_D2.wav,M04
73,/data/project/uaspeech/audiofinal/M04_B3_D2.wav,M04
74,/data/project/uaspeech/audiofinal/F03_B1_D2.wav,F03
75,/data/project/uaspeech/audiofinal/F03_B3_D2.wav,F03
76,/data/project/uaspeech/audiofinal/M12_B1_D2.wav,M12
77,/data/project/uaspeech/audiofinal/M12_B3_D2.wav,M12
78,/data/project/uaspeech/audiofinal/M01_B1_LE.wav,M01
79,/data/project/uaspeech/audiofinal/M01_B3_LE.wav,M01
80,/data/project/uaspeech/audiofinal/M04_B1_LE.wav,M04
81,/data/project/uaspeech/audiofinal/M04_B3_LE.wav,M04
82,/data/project/uaspeech/audiofinal/F03_B1_LE.wav,F03
83,/data/project/uaspeech/audiofinal/F03_B3_LE.wav,F03
84,/data/project/uaspeech/audiofinal/M12_B1_LE.wav,M12
85,/data/project/uaspeech/audiofinal/M12_B3_LE.wav,M12
86,/data/project/uaspeech/audiofinal/M01_B1_LD.wav,M01
87,/data/project/uaspeech/audiofinal/M01_B3_LD.wav,M01
88,/data/project/uaspeech/audiofinal/M04_B1_LD.wav,M04
89,/data/project/uaspeech/audiofinal/M04_B3_LD.wav,M04
90,/data/project/uaspeech/audiofinal/F03_B1_LD.wav,F03
91,/data/project/uaspeech/audiofinal/F03_B3_LD.wav,F03
92,/data/project/uaspeech/audiofinal/M12_B1_LD.wav,M12
93,/data/project/uaspeech/audiofinal/M12_B3_LD.wav,M12
94,/data/project/uaspeech/audiofinal/M01_B1_LW.wav,M01
95,/data/project/uaspeech/audiofinal/M01_B3_LW.wav,M01
96,/data/project/uaspeech/audiofinal/M04_B1_LW.wav,M04
97,/data/project/uaspeech/audiofinal/M04_B3_LW.wav,M04
98,/data/project/uaspeech/audiofinal/F03_B1_LW.wav,F03
